Label,cssSelector,tagName,group,relation,extraInfo,returnValue,teacherAppLangEN
notesButton,"button[data-tid=""button-toolbar-item-1-3""]",button,vhlNotes,,,,
dockButton,"button[data-tid=""notebox-button-dock""]",button,vhlNotes,,,,
allPagesTab,"button[data-tid=""button-product-1""]",button,vhlNotes,,,,
pageCoverTab,"button[data-tid=""button-product-0""]",button,vhlNotes,,,,
addNoteBtn,[data-tid='button-add-note'],button,vhlNotes,,,,
addNotesTextarea,#input-add-note,input,vhlNotes,,,,
saveNoteBtn,[data-tid='button-save'],button,vhlNotes,,,,
notePreviewText,"span:contains(""Sample VHL Automation Note#1"")",div,vhlNotes,,,,
deleteNoteSvg,path.delete_svg__st2,button,vhlNotes,,,,
deleteNoteBtn,[data-tid='button-primary-deleteNote'],button,vhlNotes,,,,
closeButton,"button[data-tid=""notebox-button-cancel""]",button,vhlNotes,,,,
